date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:30:26	119898/119898	---M-Z	200	added ('OK')	text/html	etag:%221d45a-673ec38b-1ebceafec47322;gz%22	https://html.storebuild.shop/tecza-prv/tecza/index-2.html	D:/techHive/html.storebuild.shop/tecza-prv/tecza/index-2.html	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:26	117855/117855	---M-Z	200	added ('OK')	text/html	etag:%221cc5f-673ec38b-457988780b55cd00;gz%22	https://html.storebuild.shop/tecza-prv/tecza/index2-one-page.html	D:/techHive/html.storebuild.shop/tecza-prv/tecza/index2-one-page.html	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:27	74074/74074	---M--	200	added ('OK')	image/jpeg	etag:%221215a-673ec38b-460a6748e34ff7e3;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/menu/home3.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/menu/home3.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:27	106417/106417	---M-Z	200	added ('OK')	text/html	etag:%2219fb1-673ec38b-933b3362b9340777;gz%22	https://html.storebuild.shop/tecza-prv/tecza/index-3.html	D:/techHive/html.storebuild.shop/tecza-prv/tecza/index-3.html	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:27	104329/104329	---M-Z	200	added ('OK')	text/html	etag:%2219789-673ec38b-e53bd3d39ab7c411;gz%22	https://html.storebuild.shop/tecza-prv/tecza/index3-one-page.html	D:/techHive/html.storebuild.shop/tecza-prv/tecza/index3-one-page.html	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:27	71175/71175	---M--	200	added ('OK')	image/jpeg	etag:%2211607-673ec38b-1b8760ea3ab2b52;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/menu/home4.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/menu/home4.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:27	97372/97372	---M-Z	200	added ('OK')	text/html	etag:%2217c5c-673ec38b-b0439a7aa6fbfeb3;gz%22	https://html.storebuild.shop/tecza-prv/tecza/index-4.html	D:/techHive/html.storebuild.shop/tecza-prv/tecza/index-4.html	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:28	94802/94802	---M-Z	200	added ('OK')	text/html	etag:%2217252-673ec38b-ae62f9cfad55d872;gz%22	https://html.storebuild.shop/tecza-prv/tecza/index4-one-page.html	D:/techHive/html.storebuild.shop/tecza-prv/tecza/index4-one-page.html	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:28	95381/95381	---M-Z	200	added ('OK')	text/html	etag:%2217495-673ec38b-428048b17812b294;gz%22	https://html.storebuild.shop/tecza-prv/tecza/index-5.html	D:/techHive/html.storebuild.shop/tecza-prv/tecza/index-5.html	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:28	88404/88404	---M--	200	added ('OK')	image/jpeg	etag:%2215954-673ec38b-c8c6ab0da75bc880;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/menu/home5.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/menu/home5.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:28	93258/93258	---M-Z	200	added ('OK')	text/html	etag:%2216c4a-673ec38b-125ea94523713c6a;gz%22	https://html.storebuild.shop/tecza-prv/tecza/index5-one-page.html	D:/techHive/html.storebuild.shop/tecza-prv/tecza/index5-one-page.html	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:29	42211/42211	---M-Z	200	added ('OK')	text/html	etag:%22a4e3-673ec38b-b30d9b577d7f828c;gz%22	https://html.storebuild.shop/tecza-prv/tecza/shop-details.html	D:/techHive/html.storebuild.shop/tecza-prv/tecza/shop-details.html	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:29	3198/3198	---M--	200	added ('OK')	image/jpeg	etag:%22c7e-673ec38b-e649e33fdc48f0e6;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/shop/shop-1.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/shop/shop-1.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:29	3133/3133	---M--	200	added ('OK')	image/jpeg	etag:%22c3d-673ec38b-f1a1f8b05dc39a65;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/shop/shop-2.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/shop/shop-2.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:29	39689/39689	---M-Z	200	added ('OK')	text/html	etag:%229b09-673ec38b-73ca3ba434dcb1c3;gz%22	https://html.storebuild.shop/tecza-prv/tecza/cart.html	D:/techHive/html.storebuild.shop/tecza-prv/tecza/cart.html	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:30	51534/51534	---M-Z	200	added ('OK')	text/html	etag:%22c94e-673ec38b-cde3469e4369f91e;gz%22	https://html.storebuild.shop/tecza-prv/tecza/checkout.html	D:/techHive/html.storebuild.shop/tecza-prv/tecza/checkout.html	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:30	3016/3016	---M--	200	added ('OK')	image/png	etag:%22bc8-673ec38b-96576c24933df0b3;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/logo/country.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/logo/country.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:30	22370/22370	---M--	200	added ('OK')	image/png	etag:%225762-673ec38b-1ef1ab60c5100573;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/slider/shape/home-one/slider-shape-1.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/slider/shape/home-one/slider-shape-1.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:30	129670/129670	---M--	200	added ('OK')	image/jpeg	etag:%221fa86-673ec38b-f3c28388c8f7b626;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/slider/slider-bg-1.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/slider/slider-bg-1.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:31	135868/135868	---M--	200	added ('OK')	image/jpeg	etag:%22212bc-673ec38b-339b8d5ca288bb3;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/slider/slider-bg-2.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/slider/slider-bg-2.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:31	16953/16953	---M--	200	added ('OK')	image/jpeg	etag:%224239-673ec38b-1f3be27e9f2adb47;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/feature/feature-bg.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/feature/feature-bg.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:31	3213/3213	---M--	200	added ('OK')	image/png	etag:%22c8d-673ec38b-eec3a8dfca6f8889;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/feature/feature-shape.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/feature/feature-shape.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:31	42649/42649	---M-Z	200	added ('OK')	text/html	etag:%22a699-673ec38b-9cb704bc8d25ebd6;gz%22	https://html.storebuild.shop/tecza-prv/tecza/service-details.html	D:/techHive/html.storebuild.shop/tecza-prv/tecza/service-details.html	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:32	51898/51898	---M--	200	added ('OK')	image/png	etag:%22caba-673ec38b-c1f8077486c4f260;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/about/about-bg-shape.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/about/about-bg-shape.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:33	31356/31356	---M--	200	added ('OK')	image/jpeg	etag:%227a7c-673ec38b-bdc5861f26db227b;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/about/about-thumb.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/about/about-thumb.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:33	10220/10220	---M--	200	added ('OK')	image/png	etag:%2227ec-673ec38b-b826cceefc5c42bc;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/about/about-thumb-shape.png	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/about/about-thumb-shape.png	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:33	625063/625063	---M--	200	added ('OK')	image/jpeg	etag:%22989a7-673ec38b-5ee4c221fcbdd46f;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/slider/slider-bg-3.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/slider/slider-bg-3.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:33	59035/59035	---M-Z	200	added ('OK')	text/html	etag:%22e69b-673ec38b-1545e2ae468e0a99;gz%22	https://html.storebuild.shop/tecza-prv/tecza/about.html	D:/techHive/html.storebuild.shop/tecza-prv/tecza/about.html	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
10:30:34	54030/54030	---M--	200	added ('OK')	image/jpeg	etag:%22d30e-673ec38b-91925ff57001baeb;;;%22	https://html.storebuild.shop/tecza-prv/tecza/assets/img/service/service1.jpg	D:/techHive/html.storebuild.shop/tecza-prv/tecza/assets/img/service/service1.jpg	(from https://html.storebuild.shop/tecza-prv/tecza/index-one-page.html)
